"","State","Race.Ethnicity","Crude Rate","Age-Adjusted Rate","Number of COVID-19 Deaths"
"1","Alabama","Indigenous",131,NA,"     36"
"2","Alaska","Indigenous",278,463,"    300"
"3","Arizona","Indigenous",767,1072,"  2,192"
"4","Arkansas","Indigenous",325,NA,"     76"
"5","California","Indigenous",351,373,"    564"
"6","Colorado","Indigenous",448,NA,"    166"
"7","Connecticut","Indigenous",NA,NA,"     NA"
"8","Delaware","Indigenous",NA,NA,"     NA"
"9","District of Columbia","Indigenous",NA,NA,"     NA"
"10","Florida","Indigenous",216,NA,"    118"
"11","Georgia","Indigenous",110,NA,"     27"
"12","Hawaii","Indigenous",NA,NA,"     NA"
"13","Idaho","Indigenous",473,NA,"     92"
"14","Illinois","Indigenous",133,NA,"     26"
"15","Indiana","Indigenous",167,NA,"     26"
"16","Iowa","Indigenous",651,NA,"     62"
"17","Kansas","Indigenous",387,NA,"     89"
"18","Kentucky","Indigenous",109,NA,"     10"
"19","Louisiana","Indigenous",266,NA,"     80"
"20","Maine","Indigenous",125,NA,"     11"
"21","Maryland","Indigenous",130,NA,"     19"
"22","Massachusetts","Indigenous",152,NA,"     19"
"23","Michigan","Indigenous",278,NA,"    158"
"24","Minnesota","Indigenous",381,658,"    227"
"25","Mississippi","Indigenous",941,NA,"    140"
"26","Missouri","Indigenous",345,NA,"     92"
"27","Montana","Indigenous",631,1138,"    410"
"28","Nebraska","Indigenous",278,NA,"     45"
"29","Nevada","Indigenous",491,NA,"    129"
"30","New Hampshire","Indigenous",NA,NA,"     NA"
"31","New Jersey","Indigenous",162,NA,"     22"
"32","New Mexico","Indigenous",908,1173,"  1,669"
"33","New York","Indigenous",187,NA,"    108"
"34","North Carolina","Indigenous",309,378,"    361"
"35","North Dakota","Indigenous",581,1261,"    229"
"36","Ohio","Indigenous",137,NA,"     31"
"37","Oklahoma","Indigenous",436,668,"  1,470"
"38","Oregon","Indigenous",311,NA,"    144"
"39","Pennsylvania","Indigenous",165,NA,"     31"
"40","Rhode Island","Indigenous",336,NA,"     15"
"41","South Carolina","Indigenous",273,NA,"     52"
"42","South Dakota","Indigenous",469,1034,"    342"
"43","Tennessee","Indigenous",174,NA,"     34"
"44","Texas","Indigenous",199,NA,"    190"
"45","Utah","Indigenous",541,842,"    163"
"46","Vermont","Indigenous",NA,NA,"     NA"
"47","Virginia","Indigenous",118,NA,"     27"
"48","Washington","Indigenous",301,413,"    285"
"49","West Virginia","Indigenous",NA,NA,"     NA"
"50","Wisconsin","Indigenous",318,NA,"    164"
"51","Wyoming","Indigenous",665,NA,"     81"
