"","State","Race.Ethnicity","Crude Rate","Age-Adjusted Rate","Number of COVID-19 Deaths"
"1","Alabama","Asian",124,NA,"     91"
"2","Alaska","Asian",206,NA,"     97"
"3","Arizona","Asian",188,249,"    488"
"4","Arkansas","Asian",131,NA,"     67"
"5","California","Asian",176,176," 10,490"
"6","Colorado","Asian",163,237,"    320"
"7","Connecticut","Asian",94,NA,"    164"
"8","Delaware","Asian",71,NA,"     29"
"9","District of Columbia","Asian",128,NA,"     40"
"10","Florida","Asian",158,178,"    991"
"11","Georgia","Asian",110,173,"    521"
"12","Hawaii","Asian",115,66,"    579"
"13","Idaho","Asian",177,NA,"     48"
"14","Illinois","Asian",141,179,"  1,050"
"15","Indiana","Asian",87,NA,"    153"
"16","Iowa","Asian",120,NA,"    103"
"17","Kansas","Asian",130,NA,"    118"
"18","Kentucky","Asian",99,NA,"     72"
"19","Louisiana","Asian",136,NA,"    114"
"20","Maine","Asian",NA,NA,"     NA"
"21","Maryland","Asian",128,152,"    520"
"22","Massachusetts","Asian",117,184,"    592"
"23","Michigan","Asian",90,144,"    301"
"24","Minnesota","Asian",165,353,"    489"
"25","Mississippi","Asian",186,NA,"     60"
"26","Missouri","Asian",122,NA,"    163"
"27","Montana","Asian",213,NA,"     22"
"28","Nebraska","Asian",71,NA,"     37"
"29","Nevada","Asian",380,367,"  1,014"
"30","New Hampshire","Asian",51,NA,"     21"
"31","New Jersey","Asian",192,247,"  1,710"
"32","New Mexico","Asian",129,NA,"     44"
"33","New York","Asian",277,326,"  4,824"
"34","North Carolina","Asian",84,150,"    286"
"35","North Dakota","Asian",NA,NA,"     NA"
"36","Ohio","Asian",109,182,"    326"
"37","Oklahoma","Asian",192,NA,"    178"
"38","Oregon","Asian",84,NA,"    169"
"39","Pennsylvania","Asian",150,229,"    726"
"40","Rhode Island","Asian",217,NA,"     81"
"41","South Carolina","Asian",126,NA,"    121"
"42","South Dakota","Asian",184,NA,"     27"
"43","Tennessee","Asian",132,NA,"    175"
"44","Texas","Asian",115,186,"  1,763"
"45","Utah","Asian",135,NA,"    111"
"46","Vermont","Asian",NA,NA,"     NA"
"47","Virginia","Asian",95,130,"    568"
"48","Washington","Asian",91,122,"    672"
"49","West Virginia","Asian",126,NA,"     19"
"50","Wisconsin","Asian",144,324,"    259"
"51","Wyoming","Asian",NA,NA,"     NA"
