"","State","Race.Ethnicity","Crude Rate","Age-Adjusted Rate","Number of COVID-19 Deaths"
"1","Alabama","Black",403,495,"  5,260"
"2","Alaska","Black",131,NA,"     31"
"3","Arizona","Black",286,429,"    970"
"4","Arkansas","Black",331,464,"  1,547"
"5","California","Black",294,334,"  6,498"
"6","Colorado","Black",237,369,"    559"
"7","Connecticut","Black",371,490,"  1,385"
"8","Delaware","Black",289,367,"    631"
"9","District of Columbia","Black",463,480,"  1,448"
"10","Florida","Black",353,459," 11,918"
"11","Georgia","Black",308,439," 10,487"
"12","Hawaii","Black",NA,NA,"     NA"
"13","Idaho","Black",160,NA,"     22"
"14","Illinois","Black",341,409,"  6,072"
"15","Indiana","Black",355,525,"  2,322"
"16","Iowa","Black",233,578,"    295"
"17","Kansas","Black",331,484,"    554"
"18","Kentucky","Black",319,442,"  1,183"
"19","Louisiana","Black",364,473,"  5,475"
"20","Maine","Black",80,NA,"     18"
"21","Maryland","Black",293,359,"  5,345"
"22","Massachusetts","Black",269,383,"  1,375"
"23","Michigan","Black",447,544,"  6,126"
"24","Minnesota","Black",161,398,"    639"
"25","Mississippi","Black",447,590,"  4,971"
"26","Missouri","Black",342,451,"  2,432"
"27","Montana","Black",292,NA,"     17"
"28","Nebraska","Black",201,NA,"    193"
"29","Nevada","Black",380,553,"  1,125"
"30","New Hampshire","Black",107,NA,"     22"
"31","New Jersey","Black",463,557,"  5,343"
"32","New Mexico","Black",259,NA,"    105"
"33","New York","Black",491,545," 13,686"
"34","North Carolina","Black",289,354,"  6,520"
"35","North Dakota","Black",79,NA,"     20"
"36","Ohio","Black",355,453,"  5,283"
"37","Oklahoma","Black",379,554,"  1,114"
"38","Oregon","Black",165,NA,"    137"
"39","Pennsylvania","Black",368,468,"  5,116"
"40","Rhode Island","Black",245,NA,"    159"
"41","South Carolina","Black",380,451,"  5,209"
"42","South Dakota","Black",93,NA,"     19"
"43","Tennessee","Black",377,513,"  4,331"
"44","Texas","Black",285,427," 10,216"
"45","Utah","Black",113,NA,"     43"
"46","Vermont","Black",NA,NA,"     NA"
"47","Virginia","Black",274,336,"  4,509"
"48","Washington","Black",135,234,"    420"
"49","West Virginia","Black",332,412,"    210"
"50","Wisconsin","Black",263,472,"    982"
"51","Wyoming","Black",166,NA,"     10"
