"","Month_Year","White","Black","Indigenous","Asian","Pacific Islander","More than one race","Latino","All Americans"
"1","01/2020",2,2,0,0,0,0,1,5
"2","02/2020",15,5,0,1,0,0,3,24
"3","03/2020",3258,2184,30,448,6,19,1127,7072
"4","04/2020",33206,16401,299,3482,41,161,11082,64672
"5","05/2020",21800,7849,439,1652,38,90,6226,38094
"6","06/2020",8997,3456,385,696,68,55,4297,17954
"7","07/2020",13944,5605,432,865,95,104,10027,31072
"8","08/2020",15288,5397,334,856,68,97,7808,29848
"9","09/2020",11561,2995,246,608,68,72,3578,19128
"10","10/2020",17621,2791,418,524,51,83,3401,24889
"11","11/2020",39132,4969,796,1085,83,142,6969,53176
"12","12/2020",68011,9889,1236,3375,177,321,14955,97964
"13","01/2021",66568,12151,1178,4824,191,415,19993,105320
"14","02/2021",28557,6729,507,2255,92,168,10111,48419
"15","03/2021",13595,3723,179,1071,39,81,4495,23183
"16","04/2021",11201,3612,122,704,39,68,2968,18714
"17","05/2021",8981,3007,160,452,36,73,2216,14925
"18","06/2021",5062,1319,78,184,26,41,1274,7984
"19","07/2021",7241,1781,123,253,57,69,1660,11184
"20","08/2021",31261,8284,478,845,203,221,7357,48649
"21","09/2021",42927,9037,638,1025,223,337,8994,63181
"22","10/2021",30363,4895,578,742,110,222,5371,42281
"23","11/2021",24133,2764,463,537,73,140,3985,32095
"24","12/2021",34245,4439,535,779,88,175,4806,45067
"25","01/2022",55937,11458,656,2166,157,355,9810,80539
"26","02/2022",33560,4918,470,1223,70,207,5504,45952
"27","03/2022",7141,850,94,185,10,25,970,9275
"28","04/2022",25,2,0,1,0,0,1,29
