"","YearMonth","State","White","Black","Indigenous","Asian","Pacific Islander","Latino","More than one race"
"1","1/2020","United States",0.00101639759319083,0.00482772959046539,0,0,0,0.00163097870514285,0
"2","2/2020","United States",0.00863937954212203,0.0168970535666289,0,0.00516336979481336,0,0.00652391482057138,0
"3","3/2020","United States",1.66435105884998,5.28877776635483,1.23338121593298,2.3183530378712,0.97798395128336,1.84463691551656,0.251406852900924
"4","4/2020","United States",18.5396002985973,44.8713326785806,13.526080668065,20.2920432936165,7.66087428505298,19.9158809684993,2.3817491327456
"5","5/2020","United States",29.6178258655807,63.817757456362,31.5745591278844,28.8219301946482,13.8547726431809,30.0703543867187,3.5726236991184
"6","6/2020","United States",34.1900904385496,72.1600741886862,47.4029513990243,32.4156355718383,24.9385907577257,37.0786698827175,4.30038037856844
"7","7/2020","United States",41.2764144582761,85.684958636375,65.1636409084593,36.8819504443519,40.4233366530455,53.4324933591848,5.67650209971034
"8","8/2020","United States",49.0457576606268,98.7125869362458,78.8952851125131,41.3017949887121,51.5071547675903,66.1671750889401,6.96000024346769
"9","9/2020","United States",54.9210439480663,105.942111997968,89.0090110831636,44.4411238239586,62.590972882135,72.0028168959412,7.91269989656593
"10","10/2020","United States",63.8749985452809,112.679208641462,106.19412269183,47.1467295964408,70.9038364680436,77.549775472132,9.01095088555418
"11","11/2020","United States",83.7613256548561,124.673702808973,138.919837621252,52.7489858238133,84.4326144607967,88.9160660682725,10.8898863124979
"12","12/2020","United States",118.32392581131,148.541997904234,189.735143717691,70.1753588813084,113.283141023656,113.307352603684,15.1373389325609
"13","1/2021","United States",152.146080321125,177.858385842335,238.165912796659,95.0886181412829,144.415630139509,145.905723983374,20.6285938775021
"14","2/2021","United States",166.65566416272,194.096454319866,259.010055345926,106.726853658792,159.411384059188,162.391656734958,22.838327795105
"15","3/2021","United States",173.560561212062,203.076031358131,266.369229934327,112.256822709037,165.768279742529,169.718013078459,23.9101149048405
"16","4/2021","United States",179.252387733931,211.790083268921,271.384980212454,115.891835044586,172.125175425871,174.553864939208,24.8098867994333
"17","5/2021","United States",183.814488330968,219.043746978596,277.963013364097,118.225678191842,177.993079133571,178.166482771099,25.7758183921579
"18","6/2021","United States",186.385974241741,222.222806913917,281.169804525522,119.175738234087,182.231009589133,180.241087684041,26.3183279168389
"19","7/2021","United States",190.060759739922,226.517072384636,286.226667510848,120.482070792175,191.521857126325,182.945250377168,27.231331751058
"20","8/2021","United States",205.926726169631,246.465251052439,305.755203429786,124.839954898998,224.447316819531,194.931312881263,30.1555904084845
"21","9/2021","United States",227.691864230219,268.185206479943,331.697321671577,130.127245568886,260.795720342229,209.56934675992,34.601522122943
"22","10/2021","United States",243.071992610383,279.926244843955,355.254902895897,133.948139217048,278.725426115757,218.290189896319,37.4993169011168
"23","11/2021","United States",255.260124349131,286.518509599735,373.96118467088,136.705378687479,290.461233531158,224.737448717748,39.3517884488078
"24","12/2021","United States",272.487555354919,296.960888703912,395.545355949708,140.68633679928,304.642000824766,232.448716035664,41.6409140041689
"25","1/2022","United States",299.746322406703,322.178534219708,420.377431097158,151.271244878647,328.276612980781,247.055761318923,46.0339179601218
"26","2/2022","United States",312.657621033007,330.062216640938,434.109075301212,155.969911391927,335.77448994062,253.452459800493,47.965781145571
"27","3/2022","United States",312.941704160303,330.132218719999,434.355751544399,156.016381720081,335.77448994062,253.524222863519,47.965781145571
