"","End.Date","State","YearQuarter","YearMonth","Latino","Indigenous","Asian","Black","Pacific Islander","White","More than one race"
"1",2020-04-30,"United States",NA,"4/2020",19.9289287981404,13.526080668065,20.3023700332061,44.9220238392804,7.66087428505298,18.5533216661054,2.3817491327456
"2",2020-05-31,"United States",NA,"5/2020",30.0850331950649,31.5745591278844,28.8374203040326,63.8756902114476,13.8547726431809,29.6371374198513,3.5726236991184
"3",2020-06-30,"United States",NA,"6/2020",37.0998726058843,47.4029513990243,32.4311256812227,72.220420808567,24.9385907577257,34.2114347880066,4.30038037856844
"4",2020-07-31,"United States",NA,"7/2020",53.4553270610568,65.204753615657,36.8974405537363,85.7501329858462,40.4233366530455,41.2992834041229,5.6897340393367
"5",2020-08-31,"United States",NA,"8/2020",66.1932707482224,78.9363978197109,41.3224484678913,98.7850028801028,51.5071547675903,49.07065940166,6.97323218309405
"6",2020-09-30,"United States",NA,"9/2020",72.0289125552235,89.0501237903614,44.4617773031379,106.02176953621,62.590972882135,54.9495030806757,7.92593183619229
"7",2020-10-31,"United States",NA,"10/2020",77.5807640675298,106.276348106225,47.1725464454149,112.766107774091,70.9038364680436,63.9059986718733,9.02418282518054
"8",2020-11-30,"United States",NA,"11/2020",88.9535785784908,139.002063035647,52.7748026727874,124.763015806397,84.4326144607967,83.7984241670075,10.9031182521243
"9",2020-12-31,"United States",NA,"12/2020",113.359543922248,189.858481839284,70.2166658396669,148.648207955225,113.283141023656,118.373729293377,15.17703475144
"10",2021-01-31,"United States",NA,"1/2021",145.998689769567,238.33036362545,95.1299250996414,177.979079082097,144.415630139509,152.199949393564,20.6682896963812
"11",2021-02-28,"United States",NA,"2/2021",162.509087201728,259.174506174718,106.773323986946,194.231630748399,159.411384059188,166.708516837566,22.8912555536105
"12",2021-03-31,"United States",NA,"3/2021",169.858277247102,266.533680763118,112.303293037191,203.225690975436,165.768279742529,173.615954880891,23.9498107237196
"13",2021-04-30,"United States",NA,"4/2021",174.707176937491,271.549431041245,115.938305372739,211.956639939792,172.288172751085,179.310830595539,24.8495826183124
