"","End.Date","State","YearQuarter","White","Latino","Black","Asian","Indigenous","More than one race","Pacific Islander","End.Date2"
"1",2020-01-31,"United States",NA,2,1,2,0,0,0,0,"Jan 2020"
"2",2020-02-29,"United States",NA,17,4,7,1,0,0,0,"Feb 2020"
"3",2020-03-31,"United States",NA,3275,1131,2191,449,30,19,6,"Mar 2020"
"4",2020-04-30,"United States",NA,36481,12213,18592,3931,329,180,47,"Apr 2020"
"5",2020-05-31,"United States",NA,58281,18439,26441,5583,768,270,85,"May 2020"
"6",2020-06-30,"United States",NA,67278,22736,29897,6279,1153,325,153,"Jun 2020"
"7",2020-07-31,"United States",NA,81222,32763,35502,7144,1585,429,248,"Jul 2020"
"8",2020-08-31,"United States",NA,96510,40571,40899,8000,1919,526,316,"Aug 2020"
"9",2020-09-30,"United States",NA,108071,44149,43894,8608,2165,598,384,"Sep 2020"
"10",2020-10-31,"United States",NA,125692,47550,46685,9132,2583,681,435,"Oct 2020"
"11",2020-11-30,"United States",NA,164824,54519,51654,10217,3379,823,518,"Nov 2020"
"12",2020-12-31,"United States",NA,232835,69474,61543,13592,4615,1144,695,"Dec 2020"
"13",2021-01-31,"United States",NA,299403,89467,73694,18416,5793,1559,886,"Jan 2021"
"14",2021-02-28,"United States",NA,327960,99578,80423,20671,6300,1727,978,"Feb 2021"
"15",2021-03-31,"United States",NA,341555,104073,84146,21742,6479,1808,1017,"Mar 2021"
"16",2021-04-30,"United States",NA,352756,107041,87758,22446,6601,1876,1056,"Apr 2021"
"17",2021-05-31,"United States",NA,361737,109257,90765,22898,6761,1949,1092,"May 2021"
"18",2021-06-30,"United States",NA,366799,110531,92084,23082,6839,1990,1118,"Jun 2021"
"19",2021-07-31,"United States",NA,374040,112191,93865,23335,6962,2059,1175,"Jul 2021"
"20",2021-08-31,"United States",NA,405301,119548,102149,24180,7440,2280,1378,"Aug 2021"
"21",2021-09-30,"United States",NA,448228,128542,111186,25205,8078,2617,1601,"Sep 2021"
"22",2021-10-31,"United States",NA,478591,133913,116081,25947,8656,2839,1711,"Oct 2021"
"23",2021-11-30,"United States",NA,502724,137898,118845,26484,9119,2979,1784,"Nov 2021"
"24",2021-12-31,"United States",NA,536969,142704,123284,27263,9654,3154,1872,"Dec 2021"
"25",2022-01-31,"United States",NA,592906,152514,134742,29429,10310,3509,2029,"Jan 2022"
"26",2022-02-28,"United States",NA,626466,158018,139660,30652,10780,3716,2099,"Feb 2022"
"27",2022-03-31,"United States",NA,633607,158988,140510,30837,10874,3741,2109,"Mar 2022"
"28",2022-04-02,"United States",NA,633632,158989,140512,30838,10874,3741,2109,"Apr 2022"
"29",2020-03-31,"Alabama","2020, Quarter 1",27,0,19,NA,0,NA,0,"Mar 31, 2020"
"30",2020-06-30,"Alabama","2020, Quarter 2",583,40,582,NA,NA,NA,0,"Jun 30, 2020"
"31",2020-09-30,"Alabama","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",2149,96,1351,16,NA,NA,0,"Sep 30, 2020"
"32",2020-12-31,"Alabama","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",4475,134,2047,25,10,NA,NA,"Dec 31, 2020"
"33",2021-03-31,"Alabama","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",7111,191,3092,43,17,NA,NA,"Mar 31, 2021"
"34",2021-06-30,"Alabama","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",7476,197,3277,44,17,NA,NA,"Jun 30, 2021"
"35",2021-09-30,"Alabama","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",10204,291,4195,61,27,NA,NA,"Sep 30, 2021"
"36",2021-12-31,"Alabama","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",11258,330,4514,72,31,NA,NA,"Dec 31, 2021"
"37",2020-03-31,"Alaska","2020, Quarter 1",NA,0,0,0,NA,NA,0,"Mar 31, 2020"
"38",2020-06-30,"Alaska","2020, Quarter 2",NA,0,0,NA,NA,NA,NA,"Jun 30, 2020"
"39",2020-09-30,"Alaska","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",18,0,NA,NA,20,NA,NA,"Sep 30, 2020"
"40",2020-12-31,"Alaska","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",94,NA,NA,28,88,NA,15,"Dec 31, 2020"
"41",2021-03-31,"Alaska","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",122,15,NA,35,111,NA,19,"Mar 31, 2021"
"42",2021-06-30,"Alaska","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",155,16,NA,39,122,NA,21,"Jun 30, 2021"
"43",2021-09-30,"Alaska","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",332,21,13,66,186,NA,34,"Sep 30, 2021"
"44",2021-12-31,"Alaska","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",495,31,21,80,248,NA,46,"Dec 31, 2021"
"45",2020-03-31,"Arizona","2020, Quarter 1",27,11,NA,NA,20,NA,0,"Mar 31, 2020"
"46",2020-06-30,"Arizona","2020, Quarter 2",843,508,65,23,382,NA,NA,"Jun 30, 2020"
"47",2020-09-30,"Arizona","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",2292,1789,179,87,693,NA,15,"Sep 30, 2020"
"48",2020-12-31,"Arizona","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",4573,2967,292,154,1105,NA,25,"Dec 31, 2020"
"49",2021-03-31,"Arizona","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",7965,4804,500,322,1596,NA,36,"Mar 31, 2021"
"50",2021-06-30,"Arizona","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",8324,4993,537,337,1637,NA,36,"Jun 30, 2021"
"51",2021-09-30,"Arizona","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",9634,5638,651,363,1769,NA,46,"Sep 30, 2021"
"52",2021-12-31,"Arizona","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",12651,6886,815,439,2025,NA,59,"Dec 31, 2021"
"53",2020-03-31,"Arkansas","2020, Quarter 1",NA,0,NA,0,NA,NA,0,"Mar 31, 2020"
"54",2020-06-30,"Arkansas","2020, Quarter 2",167,25,76,NA,0,NA,37,"Jun 30, 2020"
"55",2020-09-30,"Arkansas","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",941,97,294,18,NA,NA,50,"Sep 30, 2020"
"56",2020-12-31,"Arkansas","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3125,159,603,34,28,NA,55,"Dec 31, 2020"
"57",2021-03-31,"Arkansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",4608,228,884,47,38,NA,57,"Mar 31, 2021"
"58",2021-06-30,"Arkansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",4836,243,943,48,39,NA,59,"Jun 30, 2021"
"59",2021-09-30,"Arkansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",6553,329,1245,56,49,NA,67,"Sep 30, 2021"
"60",2021-12-31,"Arkansas","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",7402,355,1339,59,65,NA,69,"Dec 31, 2021"
"61",2020-03-31,"California","2020, Quarter 1",127,78,26,47,NA,NA,NA,"Mar 31, 2020"
"62",2020-06-30,"California","2020, Quarter 2",2020,2968,589,933,17,NA,19,"Jun 30, 2020"
"63",2020-09-30,"California","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",4901,7999,1226,1924,58,NA,78,"Sep 30, 2020"
"64",2020-12-31,"California","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",10874,15817,2255,4003,150,NA,185,"Dec 31, 2020"
"65",2021-03-31,"California","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",20124,30379,3992,7986,291,NA,344,"Mar 31, 2021"
"66",2021-06-30,"California","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",20943,31233,4174,8192,313,NA,368,"Jun 30, 2021"
"67",2021-09-30,"California","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",24395,34436,4994,8773,399,NA,489,"Sep 30, 2021"
"68",2021-12-31,"California","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",27692,37256,5457,9267,477,NA,542,"Dec 31, 2021"
"69",2020-03-31,"Colorado","2020, Quarter 1",71,19,13,NA,0,NA,0,"Mar 31, 2020"
"70",2020-06-30,"Colorado","2020, Quarter 2",1013,395,126,60,12,NA,12,"Jun 30, 2020"
"71",2020-09-30,"Colorado","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",1229,520,146,74,22,NA,12,"Sep 30, 2020"
"72",2020-12-31,"Colorado","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",3263,1281,241,164,58,NA,17,"Dec 31, 2020"
"73",2021-03-31,"Colorado","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",4151,1567,290,200,84,NA,19,"Mar 31, 2021"
"74",2021-06-30,"Colorado","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",4604,1767,330,217,94,NA,22,"Jun 30, 2021"
"75",2021-09-30,"Colorado","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",5329,2017,372,233,109,NA,26,"Sep 30, 2021"
"76",2021-12-31,"Colorado","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",7414,2732,486,285,146,NA,31,"Dec 31, 2021"
"77",2020-03-31,"Connecticut","2020, Quarter 1",91,10,20,NA,0,NA,0,"Mar 31, 2020"
"78",2020-06-30,"Connecticut","2020, Quarter 2",3212,421,680,56,NA,NA,0,"Jun 30, 2020"
"79",2020-09-30,"Connecticut","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",3327,439,697,57,NA,NA,0,"Sep 30, 2020"
"80",2020-12-31,"Connecticut","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",4689,628,854,79,NA,NA,0,"Dec 31, 2020"
"81",2021-03-31,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",6012,848,1023,117,NA,NA,NA,"Mar 31, 2021"
"82",2021-06-30,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",6214,919,1081,123,NA,NA,NA,"Jun 30, 2021"
"83",2021-09-30,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",6447,954,1120,128,NA,NA,NA,"Sep 30, 2021"
"84",2021-12-31,"Connecticut","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",6973,1017,1199,141,NA,NA,NA,"Dec 31, 2021"
"85",2020-03-31,"Delaware","2020, Quarter 1",NA,NA,NA,0,0,NA,NA,"Mar 31, 2020"
"86",2020-06-30,"Delaware","2020, Quarter 2",382,25,127,NA,NA,NA,0,"Jun 30, 2020"
"87",2020-09-30,"Delaware","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",432,36,152,NA,NA,NA,0,"Sep 30, 2020"
"88",2020-12-31,"Delaware","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",770,51,251,10,NA,NA,0,"Dec 31, 2020"
"89",2021-03-31,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",1180,70,347,16,NA,NA,0,"Mar 31, 2021"
"90",2021-06-30,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",1273,75,380,18,NA,NA,0,"Jun 30, 2021"
"91",2021-09-30,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",1420,83,429,20,NA,NA,0,"Sep 30, 2021"
"92",2021-12-31,"Delaware","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",1703,102,501,22,NA,NA,NA,"Dec 31, 2021"
"93",2020-03-31,"District of Columbia","2020, Quarter 1",NA,NA,NA,NA,0,NA,NA,"Mar 31, 2020"
"94",2020-06-30,"District of Columbia","2020, Quarter 2",72,93,471,10,NA,NA,0,"Jun 30, 2020"
"95",2020-09-30,"District of Columbia","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",87,111,542,12,NA,NA,0,"Sep 30, 2020"
"96",2020-12-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",130,150,686,17,NA,NA,0,"Dec 31, 2020"
"97",2021-03-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",178,196,953,28,NA,NA,0,"Mar 31, 2021"
"98",2021-06-30,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",189,204,1042,29,NA,NA,0,"Jun 30, 2021"
"99",2021-09-30,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",203,206,1110,32,NA,NA,0,"Sep 30, 2021"
"100",2021-12-31,"District of Columbia","Cumulative from 2020, Quarter 2 through 2021, Quarter 4",220,212,1193,32,NA,NA,0,"Dec 31, 2021"
"101",2020-03-31,"Florida","2020, Quarter 1",121,34,30,NA,0,NA,0,"Mar 31, 2020"
"102",2020-06-30,"Florida","2020, Quarter 2",1806,1032,805,53,NA,NA,NA,"Jun 30, 2020"
"103",2020-09-30,"Florida","Cumulative from 2020, Quarter 2 through 2020, Quarter 3",7696,4371,3155,211,20,NA,NA,"Sep 30, 2020"
"104",2020-12-31,"Florida","Cumulative from 2020, Quarter 2 through 2020, Quarter 4",11677,5768,3971,301,30,NA,NA,"Dec 31, 2020"
"105",2021-03-31,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 1",17768,8047,5423,460,46,NA,11,"Mar 31, 2021"
"106",2021-06-30,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 2",19675,9023,6094,529,52,NA,12,"Jun 30, 2021"
"107",2021-09-30,"Florida","Cumulative from 2020, Quarter 2 through 2021, Quarter 3",32143,12866,9972,820,98,NA,28,"Sep 30, 2021"
