"","End.Date","State","Race.Ethnicity","Number of COVID-19 Deaths","Population","Crude Rate","age_adjusted_rate_direct","age_adjusted_rate_indirect","Direct_Available","Age-Adjusted Rate"
"1","04/30/2022","United States","White","642,802",196773390,327,266.881988220983,270.73334226007,TRUE,267
"2","04/30/2022","United States","Black","142,361",41427341,344,445.173655124202,456.922299921081,TRUE,445
"3","04/30/2022","United States","Indigenous"," 11,046",2432338,454,556.054313697627,597.356904375122,TRUE,556
"4","04/30/2022","United States","Asian"," 31,119",19367197,161,197.083850590404,194.704731773112,TRUE,197
"5","04/30/2022","United States","Pacific Islander","  2,132",613507,348,465.71852876173,535.162016008691,TRUE,466
"6","04/30/2022","United States","Latino","160,588",61312879,262,475.486343164885,486.692092616063,TRUE,475
"7","04/30/2022","Alabama","White"," 13,493",3205777,421,361.497570863026,364.219146145033,TRUE,361
"8","04/30/2022","Alabama","Black","  5,260",1303754,403,495.178534520784,519.65717252444,TRUE,495
"9","04/30/2022","Alabama","Indigenous","     38",27491,138,NA,NA,FALSE,NA
"10","04/30/2022","Alabama","Asian","     91",73538,124,NA,NA,FALSE,NA
"11","04/30/2022","Alabama","Pacific Islander","     10",2543,393,NA,NA,FALSE,NA
"12","04/30/2022","Alabama","Latino","    375",226557,166,NA,437.242599306627,FALSE,437
"13","04/30/2022","Alaska","White","    669",436033,153,NA,172.290228042761,FALSE,172
"14","04/30/2022","Alaska","Black","     31",23621,131,NA,NA,FALSE,NA
"15","04/30/2022","Alaska","Indigenous","    320",108074,296,NA,493.28096891311,FALSE,493
"16","04/30/2022","Alaska","Asian","     98",47145,208,NA,NA,FALSE,NA
"17","04/30/2022","Alaska","Pacific Islander","     60",11132,539,NA,NA,FALSE,NA
"18","04/30/2022","Alaska","Latino","     42",53556,78,NA,NA,FALSE,NA
"19","04/30/2022","Arizona","White"," 15,238",3993464,382,260.365567989664,262.991097179361,TRUE,260
"20","04/30/2022","Arizona","Black","    970",339240,286,429.384326755182,458.594858731551,TRUE,429
"21","04/30/2022","Arizona","Indigenous","  2,236",285811,782,1094.29598923383,1206.78182723282,TRUE,1094
"22","04/30/2022","Arizona","Asian","    491",259897,189,NA,250.891983625322,FALSE,251
"23","04/30/2022","Arizona","Pacific Islander","     65",14088,461,NA,NA,FALSE,NA
"24","04/30/2022","Arizona","Latino","  7,797",2366919,329,631.264611200281,657.049775420197,TRUE,631
"25","04/30/2022","Arkansas","White","  8,934",2172339,411,349.353665618601,351.89436703175,TRUE,349
"26","04/30/2022","Arkansas","Black","  1,547",467432,331,NA,463.957406266997,FALSE,464
"27","04/30/2022","Arkansas","Indigenous","     78",23355,334,NA,NA,FALSE,NA
"28","04/30/2022","Arkansas","Asian","     68",51280,133,NA,NA,FALSE,NA
