"","State","Race.Ethnicity","Crude Rate","Age-Adjusted Rate","Number of COVID-19 Deaths"
"1","Alabama","Latino",161,425,"    364"
"2","Alaska","Latino",69,NA,"     37"
"3","Arizona","Latino",321,615,"  7,597"
"4","Arkansas","Latino",161,459,"    392"
"5","California","Latino",261,467," 40,703"
"6","Colorado","Latino",242,505,"  3,089"
"7","Connecticut","Latino",189,383,"  1,161"
"8","Delaware","Latino",123,NA,"    119"
"9","District of Columbia","Latino",266,579,"    216"
"10","Florida","Latino",265,324," 15,262"
"11","Georgia","Latino",145,362,"  1,546"
"12","Hawaii","Latino",66,NA,"    101"
"13","Idaho","Latino",172,450,"    407"
"14","Illinois","Latino",211,424,"  4,694"
"15","Indiana","Latino",176,451,"    886"
"16","Iowa","Latino",135,395,"    278"
"17","Kansas","Latino",191,495,"    693"
"18","Kentucky","Latino",124,332,"    223"
"19","Louisiana","Latino",165,289,"    418"
"20","Maine","Latino",51,NA,"     13"
"21","Maryland","Latino",168,366,"  1,097"
"22","Massachusetts","Latino",166,371,"  1,437"
"23","Michigan","Latino",211,460,"  1,145"
"24","Minnesota","Latino",114,342,"    368"
"25","Mississippi","Latino",151,NA,"    151"
"26","Missouri","Latino",168,392,"    465"
"27","Montana","Latino",207,NA,"     93"
"28","Nebraska","Latino",133,389,"    301"
"29","Nevada","Latino",247,504,"  2,285"
"30","New Hampshire","Latino",92,NA,"     53"
"31","New Jersey","Latino",316,527,"  5,929"
"32","New Mexico","Latino",295,386,"  3,085"
"33","New York","Latino",360,527," 13,475"
"34","North Carolina","Latino",112,296,"  1,177"
"35","North Dakota","Latino",162,NA,"     54"
"36","Ohio","Latino",151,346,"    739"
"37","Oklahoma","Latino",201,551,"    910"
"38","Oregon","Latino",98,262,"    569"
"39","Pennsylvania","Latino",168,397,"  1,737"
"40","Rhode Island","Latino",125,271,"    220"
"41","South Carolina","Latino",139,356,"    445"
"42","South Dakota","Latino",119,NA,"     47"
"43","Tennessee","Latino",160,473,"    647"
"44","Texas","Latino",319,585," 37,286"
"45","Utah","Latino",135,366,"    635"
"46","Vermont","Latino",NA,NA,"     NA"
"47","Virginia","Latino",118,288,"  1,010"
"48","Washington","Latino",112,318,"  1,146"
"49","West Virginia","Latino",97,NA,"     31"
"50","Wisconsin","Latino",153,419,"    653"
"51","Wyoming","Latino",227,NA,"    137"
