"","State","Race.Ethnicity","Crude Rate","Age-Adjusted Rate","Number of COVID-19 Deaths"
"1","Alabama","Pacific Islander",NA,NA,"     NA"
"2","Alaska","Pacific Islander",512,NA,"     57"
"3","Arizona","Pacific Islander",454,NA,"     64"
"4","Arkansas","Pacific Islander",624,NA,"     72"
"5","California","Pacific Islander",413,536,"    608"
"6","Colorado","Pacific Islander",361,NA,"     31"
"7","Connecticut","Pacific Islander",NA,NA,"     NA"
"8","Delaware","Pacific Islander",NA,NA,"     NA"
"9","District of Columbia","Pacific Islander",0,0,"      0"
"10","Florida","Pacific Islander",252,NA,"     36"
"11","Georgia","Pacific Islander",238,NA,"     18"
"12","Hawaii","Pacific Islander",194,232,"    265"
"13","Idaho","Pacific Islander",427,NA,"     14"
"14","Illinois","Pacific Islander",NA,NA,"     NA"
"15","Indiana","Pacific Islander",442,NA,"     12"
"16","Iowa","Pacific Islander",317,NA,"     15"
"17","Kansas","Pacific Islander",439,NA,"     13"
"18","Kentucky","Pacific Islander",298,NA,"     10"
"19","Louisiana","Pacific Islander",NA,NA,"     NA"
"20","Maine","Pacific Islander",0,0,"      0"
"21","Maryland","Pacific Islander",NA,NA,"     NA"
"22","Massachusetts","Pacific Islander",NA,NA,"     NA"
"23","Michigan","Pacific Islander",383,NA,"     11"
"24","Minnesota","Pacific Islander",NA,NA,"     NA"
"25","Mississippi","Pacific Islander",NA,NA,"     NA"
"26","Missouri","Pacific Islander",448,NA,"     39"
"27","Montana","Pacific Islander",NA,NA,"     NA"
"28","Nebraska","Pacific Islander",NA,NA,"     NA"
"29","Nevada","Pacific Islander",673,NA,"    143"
"30","New Hampshire","Pacific Islander",0,0,"      0"
"31","New Jersey","Pacific Islander",NA,NA,"     NA"
"32","New Mexico","Pacific Islander",NA,NA,"     NA"
"33","New York","Pacific Islander",0,NA,"      0"
"34","North Carolina","Pacific Islander",248,NA,"     18"
"35","North Dakota","Pacific Islander",0,0,"      0"
"36","Ohio","Pacific Islander",NA,NA,"     NA"
"37","Oklahoma","Pacific Islander",474,NA,"     36"
"38","Oregon","Pacific Islander",266,NA,"     47"
"39","Pennsylvania","Pacific Islander",NA,NA,"     NA"
"40","Rhode Island","Pacific Islander",NA,NA,"     NA"
"41","South Carolina","Pacific Islander",NA,NA,"     NA"
"42","South Dakota","Pacific Islander",NA,NA,"     NA"
"43","Tennessee","Pacific Islander",468,NA,"     18"
"44","Texas","Pacific Islander",300,NA,"     80"
"45","Utah","Pacific Islander",390,NA,"    131"
"46","Vermont","Pacific Islander",0,NA,"      0"
"47","Virginia","Pacific Islander",NA,NA,"     NA"
"48","Washington","Pacific Islander",389,814,"    215"
"49","West Virginia","Pacific Islander",NA,NA,"     NA"
"50","Wisconsin","Pacific Islander",NA,NA,"     NA"
"51","Wyoming","Pacific Islander",NA,NA,"     NA"
