"","State","Race.Ethnicity","Crude Rate","Age-Adjusted Rate","Number of COVID-19 Deaths"
"1","Alabama","White",421,361," 13,493"
"2","Alaska","White",153,172,"    669"
"3","Arizona","White",382,260," 15,238"
"4","Arkansas","White",411,349,"  8,934"
"5","California","White",237,175," 33,529"
"6","Colorado","White",225,219,"  8,821"
"7","Connecticut","White",348,256,"  8,085"
"8","Delaware","White",351,257,"  2,117"
"9","District of Columbia","White",99,136,"    265"
"10","Florida","White",354,226," 40,863"
"11","Georgia","White",356,324," 19,661"
"12","Hawaii","White",52,NA,"    157"
"13","Idaho","White",293,284,"  4,361"
"14","Illinois","White",291,236," 22,134"
"15","Indiana","White",383,352," 20,197"
"16","Iowa","White",328,272,"  8,772"
"17","Kansas","White",332,284,"  7,270"
"18","Kentucky","White",401,378," 15,041"
"19","Louisiana","White",360,323,"  9,717"
"20","Maine","White",191,152,"  2,393"
"21","Maryland","White",280,223,"  8,402"
"22","Massachusetts","White",298,234," 14,497"
"23","Michigan","White",321,273," 23,812"
"24","Minnesota","White",246,208," 10,917"
"25","Mississippi","White",467,401,"  7,800"
"26","Missouri","White",354,310," 17,195"
"27","Montana","White",315,270,"  2,919"
"28","Nebraska","White",287,250,"  4,330"
"29","Nevada","White",410,319,"  6,102"
"30","New Hampshire","White",192,164,"  2,351"
"31","New Jersey","White",390,288," 18,727"
"32","New Mexico","White",324,213,"  2,482"
"33","New York","White",351,268," 37,300"
"34","North Carolina","White",300,253," 19,797"
"35","North Dakota","White",376,342,"  2,395"
"36","Ohio","White",404,350," 36,887"
"37","Oklahoma","White",457,386," 11,712"
"38","Oregon","White",189,157,"  5,979"
"39","Pennsylvania","White",398,303," 38,263"
"40","Rhode Island","White",405,293,"  3,040"
"41","South Carolina","White",362,301," 11,987"
"42","South Dakota","White",358,309,"  2,594"
"43","Tennessee","White",413,371," 20,882"
"44","Texas","White",364,323," 43,580"
"45","Utah","White",156,199,"  3,934"
"46","Vermont","White",105,89,"    605"
"47","Virginia","White",250,218," 13,049"
"48","Washington","White",177,156,"  9,092"
"49","West Virginia","White",400,339,"  6,549"
"50","Wisconsin","White",267,224," 12,545"
"51","Wyoming","White",280,259,"  1,361"
