"Notes"	"States"	"States Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Population
	"Alabama"	"01"	"< 1 year"	"1"	5107
	"Alabama"	"01"	"1-4 years"	"1-4"	20906
	"Alabama"	"01"	"5-14 years"	"5-14"	50455
	"Alabama"	"01"	"15-24 years"	"15-24"	37501
	"Alabama"	"01"	"25-34 years"	"25-34"	31795
	"Alabama"	"01"	"35-44 years"	"35-44"	32407
	"Alabama"	"01"	"45-54 years"	"45-54"	23241
	"Alabama"	"01"	"55-64 years"	"55-64"	14045
	"Alabama"	"01"	"65-74 years"	"65-74"	6782
	"Alabama"	"01"	"75-84 years"	"75-84"	2999
	"Alabama"	"01"	"85+ years"	"85+"	1319
"Total"	"Alabama"	"01"			226557
	"Alaska"	"02"	"< 1 year"	"1"	912
	"Alaska"	"02"	"1-4 years"	"1-4"	4723
	"Alaska"	"02"	"5-14 years"	"5-14"	9968
	"Alaska"	"02"	"15-24 years"	"15-24"	9063
	"Alaska"	"02"	"25-34 years"	"25-34"	10061
	"Alaska"	"02"	"35-44 years"	"35-44"	7495
	"Alaska"	"02"	"45-54 years"	"45-54"	4971
	"Alaska"	"02"	"55-64 years"	"55-64"	3640
	"Alaska"	"02"	"65-74 years"	"65-74"	1860
	"Alaska"	"02"	"75-84 years"	"75-84"	641
	"Alaska"	"02"	"85+ years"	"85+"	222
"Total"	"Alaska"	"02"			53556
	"Arizona"	"04"	"< 1 year"	"1"	37254
	"Arizona"	"04"	"1-4 years"	"1-4"	159988
	"Arizona"	"04"	"5-14 years"	"5-14"	415361
	"Arizona"	"04"	"15-24 years"	"15-24"	419055
	"Arizona"	"04"	"25-34 years"	"25-34"	382410
	"Arizona"	"04"	"35-44 years"	"35-44"	317924
	"Arizona"	"04"	"45-54 years"	"45-54"	261976
	"Arizona"	"04"	"55-64 years"	"55-64"	192160
	"Arizona"	"04"	"65-74 years"	"65-74"	113654
	"Arizona"	"04"	"75-84 years"	"75-84"	50245
	"Arizona"	"04"	"85+ years"	"85+"	16892
"Total"	"Arizona"	"04"			2366919
	"Arkansas"	"05"	"< 1 year"	"1"	4671
	"Arkansas"	"05"	"1-4 years"	"1-4"	20023
	"Arkansas"	"05"	"5-14 years"	"5-14"	50367
	"Arkansas"	"05"	"15-24 years"	"15-24"	44054
	"Arkansas"	"05"	"25-34 years"	"25-34"	37075
	"Arkansas"	"05"	"35-44 years"	"35-44"	33980
	"Arkansas"	"05"	"45-54 years"	"45-54"	26478
	"Arkansas"	"05"	"55-64 years"	"55-64"	15789
	"Arkansas"	"05"	"65-74 years"	"65-74"	7099
	"Arkansas"	"05"	"75-84 years"	"75-84"	2595
	"Arkansas"	"05"	"85+ years"	"85+"	1032
"Total"	"Arkansas"	"05"			243163
	"California"	"06"	"< 1 year"	"1"	223063
	"California"	"06"	"1-4 years"	"1-4"	932826
	"California"	"06"	"5-14 years"	"5-14"	2598348
	"California"	"06"	"15-24 years"	"15-24"	2559089
	"California"	"06"	"25-34 years"	"25-34"	2553334
	"California"	"06"	"35-44 years"	"35-44"	2167497
	"California"	"06"	"45-54 years"	"45-54"	1880703
	"California"	"06"	"55-64 years"	"55-64"	1396825
	"California"	"06"	"65-74 years"	"65-74"	773809
	"California"	"06"	"75-84 years"	"75-84"	344342
	"California"	"06"	"85+ years"	"85+"	139944
"Total"	"California"	"06"			15569780
	"Colorado"	"08"	"< 1 year"	"1"	20093
	"Colorado"	"08"	"1-4 years"	"1-4"	84365
	"Colorado"	"08"	"5-14 years"	"5-14"	223335
	"Colorado"	"08"	"15-24 years"	"15-24"	219733
	"Colorado"	"08"	"25-34 years"	"25-34"	209725
	"Colorado"	"08"	"35-44 years"	"35-44"	183351
	"Colorado"	"08"	"45-54 years"	"45-54"	140124
	"Colorado"	"08"	"55-64 years"	"55-64"	100773
	"Colorado"	"08"	"65-74 years"	"65-74"	58427
	"Colorado"	"08"	"75-84 years"	"75-84"	25585
	"Colorado"	"08"	"85+ years"	"85+"	8736
"Total"	"Colorado"	"08"			1274247
	"Connecticut"	"09"	"< 1 year"	"1"	9944
